Circulação nos vertebrados;ss_circulacao_vertebrados_03;17 - Enciclopédia do Estudante;244 - Enciclopédia Estudante - Biologia;17 - in - Multimídia interativa;0 - novo;2 - flash;1 - Sim;1 - Sim;;;42kb
Etapas no ciclo de vida dos cnidários ;ss_cnidarios_03;17 - Enciclopédia do Estudante;244 - Enciclopédia Estudante - Biologia;17 - in - Multimídia interativa;0 - novo;2 - flash;1 - Sim;1 - Sim;;;119kb
O impulso nervoso;impulso_nervoso_06;17 - Enciclopédia do Estudante;244 - Enciclopédia Estudante - Biologia;17 - in - Multimídia interativa;0 - novo;2 - flash;1 - Sim;1 - Sim;;;535kb
Níveis de organização da vida;niveis_organizacao_vida_09;17 - Enciclopédia do Estudante;244 - Enciclopédia Estudante - Biologia;17 - in - Multimídia interativa;0 - novo;2 - flash;1 - Sim;1 - Sim;;;2.797kb
Características dos Poríferos;ss_poriferos_06;17 - Enciclopédia do Estudante;244 - Enciclopédia Estudante - Biologia;17 - in - Multimídia interativa;0 - novo;2 - flash;1 - Sim;1 - Sim;;;71kb
Principais tecidos animais;ss_principais_tecidos_animais_03;17 - Enciclopédia do Estudante;244 - Enciclopédia Estudante - Biologia;17 - in - Multimídia interativa;0 - novo;2 - flash;1 - Sim;1 - Sim;;;75kb
Trocas gasosas nos animais;ss_respiracao_animais_05;17 - Enciclopédia do Estudante;244 - Enciclopédia Estudante - Biologia;17 - in - Multimídia interativa;0 - novo;2 - flash;1 - Sim;1 - Sim;;;191kb
Sistema cardiovascular;sistema_cardiovascular_04;17 - Enciclopédia do Estudante;244 - Enciclopédia Estudante - Biologia;17 - in - Multimídia interativa;0 - novo;2 - flash;1 - Sim;1 - Sim;;;134kb
A deriva dos continentes;deriva5;17 - Enciclopédia do Estudante;245 - Enciclopédia Estudante - CTU;17 - in - Multimídia interativa;0 - novo;2 - flash;1 - Sim;1 - Sim;;;842kb
A Terra no universo;a_terra_no_universo;17 - Enciclopédia do Estudante;245 - Enciclopédia Estudante - CTU;17 - in - Multimídia interativa;0 - novo;2 - flash;1 - Sim;1 - Sim;;;907kb
O cilco das rochas;ociclodasrochas4;17 - Enciclopédia do Estudante;245 - Enciclopédia Estudante - CTU;17 - in - Multimídia interativa;0 - novo;2 - flash;1 - Sim;1 - Sim;;;1.603kb
Estados da água;propriedades_agua_v02;17 - Enciclopédia do Estudante;245 - Enciclopédia Estudante - CTU;1 - an - Animação;0 - novo;2 - flash;1 - Sim;0 - Não;;;1.625kb
Plataforma de Abrasão;abrasao3;17 - Enciclopédia do Estudante;245 - Enciclopédia Estudante - CTU;17 - in - Multimídia interativa;0 - novo;2 - flash;1 - Sim;1 - Sim;;;217kb
Ciclo de Wilson;ciclo_de_wilson;17 - Enciclopédia do Estudante;245 - Enciclopédia Estudante - CTU;17 - in - Multimídia interativa;0 - novo;2 - flash;1 - Sim;1 - Sim;;;333kb
A energia que impulsiona os agentes externos;energia3;17 - Enciclopédia do Estudante;245 - Enciclopédia Estudante - CTU;17 - in - Multimídia interativa;0 - novo;2 - flash;1 - Sim;1 - Sim;;;143kb
Limpeza de fósseis: como é o trabalho dos paleontólogos;limpeza_de_fosseis;17 - Enciclopédia do Estudante;245 - Enciclopédia Estudante - CTU;17 - in - Multimídia interativa;0 - novo;2 - flash;1 - Sim;1 - Sim;;;250kb
Estrutura de um vulcão de ponta;vulcao2;17 - Enciclopédia do Estudante;245 - Enciclopédia Estudante - CTU;17 - in - Multimídia interativa;0 - novo;2 - flash;1 - Sim;1 - Sim;;;246kb
Chuva ácida;chuva_acidaok_2;17 - Enciclopédia do Estudante;246 - Enciclopédia Estudante - Ecologia;17 - in - Multimídia interativa;0 - novo;2 - flash;1 - Sim;1 - Sim;;;1.385kb
Ciclo da água;ciclo_da_agua_4;17 - Enciclopédia do Estudante;246 - Enciclopédia Estudante - Ecologia;1 - an - Animação;0 - novo;2 - flash;1 - Sim;0 - Não;;;484kb
Ciclo do Carbono;ciclo_do_carbono_6;17 - Enciclopédia do Estudante;246 - Enciclopédia Estudante - Ecologia;1 - an - Animação;0 - novo;2 - flash;1 - Sim;0 - Não;;;353kb
Ciclo Nitrogênio;ciclo_do_nitrogenio4;17 - Enciclopédia do Estudante;246 - Enciclopédia Estudante - Ecologia;1 - an - Animação;0 - novo;2 - flash;1 - Sim;0 - Não;;;1.572kb
Tratamento da água;agua_potavel4;17 - Enciclopédia do Estudante;246 - Enciclopédia Estudante - Ecologia;1 - an - Animação;0 - novo;2 - flash;1 - Sim;0 - Não;;;590kb
Desflorestamento para uso agrícola;desmatamento;17 - Enciclopédia do Estudante;246 - Enciclopédia Estudante - Ecologia;17 - in - Multimídia interativa;0 - novo;2 - flash;1 - Sim;1 - Sim;;;94kb
Evolução das Girafas segundo Lamark e Darwin;girafas_3;17 - Enciclopédia do Estudante;246 - Enciclopédia Estudante - Ecologia;17 - in - Multimídia interativa;0 - novo;2 - flash;1 - Sim;1 - Sim;;;252kb
Formação do petróleo e do carbono;petroleo6;17 - Enciclopédia do Estudante;246 - Enciclopédia Estudante - Ecologia;1 - an - Animação;0 - novo;2 - flash;1 - Sim;0 - Não;;;1.926kb
Fotossíntese;fotossintese3;17 - Enciclopédia do Estudante;246 - Enciclopédia Estudante - Ecologia;1 - an - Animação;0 - novo;2 - flash;1 - Sim;0 - Não;;;815kb
Gestão de resíduos solídos urbanos (RSU);residuos_solidos3;17 - Enciclopédia do Estudante;246 - Enciclopédia Estudante - Ecologia;17 - in - Multimídia interativa;0 - novo;2 - flash;1 - Sim;1 - Sim;;;1.333kb
Radiação solar e efeito estufa;estufa4;17 - Enciclopédia do Estudante;246 - Enciclopédia Estudante - Ecologia;1 - an - Animação;0 - novo;2 - flash;1 - Sim;0 - Não;;;505kb
Retroalimentação;retroalimentacao4;17 - Enciclopédia do Estudante;246 - Enciclopédia Estudante - Ecologia;1 - an - Animação;0 - novo;2 - flash;1 - Sim;0 - Não;;;763kb
Tratamento do esgoto;aguasresiduais_alteracao_final;17 - Enciclopédia do Estudante;246 - Enciclopédia Estudante - Ecologia;1 - an - Animação;0 - novo;2 - flash;1 - Sim;0 - Não;;;1.810kb
Efeito fotoelétrico;efeito_fotoeletrico_03;17 - Enciclopédia do Estudante;247 - Enciclopédia Estudante - Física;1 - an - Animação;0 - novo;2 - flash;1 - Sim;0 - Não;;;335kb
Instrumentos óticos;instrumentos_otico_03;17 - Enciclopédia do Estudante;247 - Enciclopédia Estudante - Física;1 - an - Animação;0 - novo;2 - flash;1 - Sim;0 - Não;;;83kb
Movimento relativo;movimento_relativo_03;17 - Enciclopédia do Estudante;247 - Enciclopédia Estudante - Física;1 - an - Animação;0 - novo;2 - flash;1 - Sim;0 - Não;;;150kb
Relatividade especial;relatividade_especial_02;17 - Enciclopédia do Estudante;247 - Enciclopédia Estudante - Física;17 - in - Multimídia interativa;0 - novo;2 - flash;1 - Sim;1 - Sim;;;155kb
